GeneID,Chr,up,down,ori
CSS0014795,3,116838792,116842534,-
CSS0047633,3,116848234,116853054,-
CSS0026737,3,116859325,116863001,-
CSS0027159,3,116913677,116916088,+
CSS0029806,3,116919320,116923792,-
CSS0000797,3,116929655,116931780,+
CSS0000766,3,116939588,116951656,+
CSS0022575,3,116976407,116986012,-
CSS0009659,3,117231180,117231479,-
CSS0024407,3,117239436,117242330,-
CSS0001158,3,117307462,117308292,-
CSS0034550,3,117309055,117319944,-
CSS0017263,3,117445424,117451930,-
CSS0038071,3,117473116,117473938,-
CSS0011933,3,117477254,117479521,-
CSS0044905,3,117502658,117503119,-
CSS0027719,3,117543171,117546364,-
CSS0049280,3,117651058,117660192,-
CSS0048977,3,117681449,117681923,-
CSS0033572,3,117705877,117706335,-
CSS0027697,3,117973257,117974711,-
CSS0024691,3,117977143,117993109,-
CSS0021570,3,118104043,118112000,+
CSS0015055,3,118169693,118224834,+
CSS0030806,3,118324114,118325568,-
CSS0031844,3,118328177,118343544,-
CSS0045420,3,118365632,118369170,-
CSS0033402,3,118427742,118435817,+
CSS0037898,3,118489387,118543912,+
CSS0033867,3,118599805,118614837,-
CSS0019391,3,118622042,118622227,-
CSS0031676,3,118717972,118729386,+
CSS0005909,3,118730079,118730606,-
CSS0024701,3,118768349,118776148,+
CSS0040549,3,118793174,118795428,-
CSS0015352,3,118888974,118891385,+
CSS0044266,3,118908148,118939272,+
CSS0004657,3,119293382,119314759,-
CSS0035789,3,119588522,119596982,+
CSS0020424,3,119598489,119598830,+
CSS0032836,3,120000884,120002524,+
CSS0001171,3,120073010,120078179,-
CSS0032477,3,120181214,120183146,-
CSS0011391,3,120303659,120303922,-
CSS0047855,3,120384682,120386982,+
CSS0027139,3,120481308,120486378,-
CSS0023498,3,120537631,120538862,-
CSS0031116,3,120600104,120615435,+
CSS0020271,3,120983152,121002476,-
CSS0008005,3,121083514,121098381,-
CSS0038121,3,121354259,121369500,+
CSS0036847,3,121407687,121408146,+
CSS0031221,3,121444461,121448061,+
CSS0007680,3,121607995,121611379,+
CSS0012268,3,121623468,121623723,+
CSS0000543,3,121693194,121696488,+
CSS0050450,3,121742851,121756458,-
CSS0012794,3,121757324,121758941,-
CSS0039404,3,121874884,121880982,-
CSS0030586,3,121966871,121968878,-
CSS0016316,3,122027518,122027931,+
CSS0000300,3,122091498,122091704,+
CSS0023689,3,122098083,122102213,-
CSS0044207,3,122122518,122127544,-
CSS0044570,3,122170275,122176634,+
CSS0030964,3,122243938,122262244,+
CSS0024042,3,122295526,122295778,-
CSS0016916,3,122425822,122426929,-
CSS0006970,3,122555203,122563628,+
CSS0035749,3,122807092,122807757,+
CSS0048228,3,122972401,122972613,+
CSS0023907,3,122994163,122994925,-
CSS0026945,3,123005351,123009849,+
CSS0016294,3,123794695,123798736,+
CSS0022867,3,123858188,123858626,+
CSS0039626,3,123862089,123864430,-
CSS0033444,3,123865649,123869604,-
CSS0001773,3,124076893,124080115,-
CSS0032762,3,124358241,124360954,-
CSS0010583,3,124879325,124883363,+
CSS0039825,3,124900204,124900559,+
CSS0036301,3,124918792,124919442,+
CSS0008425,3,124921942,124948116,-
CSS0031666,3,125049627,125050495,+
CSS0001229,3,125077587,125078195,-
CSS0039411,3,125104927,125124770,-
CSS0036964,3,125316102,125317200,-
CSS0038707,3,125878999,125881992,+
CSS0045841,3,125892648,125909848,+
CSS0042612,3,125971834,125972685,-
CSS0042694,3,126055860,126074708,+
CSS0013601,3,126279468,126280566,-
CSS0011790,3,126314905,126315942,-
CSS0039844,3,126777943,126779574,+
CSS0026105,3,126787122,126798608,+
CSS0025375,3,126857712,126860067,-
CSS0031661,3,126917836,126918179,-
CSS0024377,3,126919350,126919914,+
CSS0045209,3,126963784,126965463,+
CSS0031684,3,127045947,127047881,+
CSS0044223,3,127053460,127056676,-
CSS0037404,3,127064057,127066008,-
CSS0039402,3,127593087,127595934,-
CSS0003532,3,127596395,127601140,-
CSS0044101,3,127601762,127603312,-
CSS0010987,3,127647039,127647794,-
CSS0013490,3,127656987,127657952,+
CSS0030215,3,127763016,127764581,+
CSS0033021,3,127869972,127879015,+
CSS0047813,3,127884521,127887907,-
CSS0010533,3,127888419,127898275,-
CSS0000244,3,127998490,128003405,-
CSS0032147,3,128129942,128131237,-
CSS0046270,3,128424695,128425162,-
CSS0019989,3,128431782,128432191,-
CSS0018905,3,128488424,128526516,+
CSS0022648,3,128565472,128569579,-
CSS0008347,3,128574040,128575766,-
CSS0026068,3,128576229,128580981,-
CSS0029718,3,128581603,128582852,-
CSS0044325,3,128593414,128598928,-
CSS0035316,3,128628491,128630536,+
CSS0037886,3,128653553,128654308,-
CSS0036387,3,128670014,128679545,+
CSS0032686,3,128686807,128687559,-
CSS0021203,3,128688513,128691917,-
CSS0011811,3,128692455,128701751,-
CSS0045054,3,128703122,128709320,-
CSS0000557,3,128737073,128739819,-
CSS0043479,3,128888550,128890333,-
CSS0042110,3,128957368,128960599,+
CSS0041052,3,128964032,128974299,-
CSS0031469,3,129101192,129110875,+
CSS0004947,3,129600139,129602022,-
CSS0041677,3,129614775,129615053,+
CSS0021381,3,129720065,129720337,+
CSS0041082,3,129816510,129816728,-
CSS0043774,3,129925915,129927332,-
CSS0017781,3,130026062,130036339,-
CSS0010152,3,130050508,130051158,+
CSS0012415,3,130185416,130193563,+
CSS0039627,3,130197358,130200603,-
CSS0045418,3,130261072,130262598,+
CSS0025655,3,130269608,130269944,-
CSS0017631,3,130369512,130402760,-
CSS0003115,3,130578588,130614063,-
CSS0041702,3,130780548,130820861,-
CSS0003709,3,130966695,130973088,+
CSS0043273,3,131016401,131022639,+
CSS0047885,3,131024166,131024567,-
CSS0030480,3,131105866,131107209,+
CSS0044005,3,131416224,131425251,+
CSS0038621,3,131455689,131456113,-
CSS0041624,3,131497785,131504571,+
CSS0022337,3,131511821,131513988,-
CSS0038250,3,131516135,131516980,-
CSS0047622,3,131526033,131527238,-
CSS0028538,3,131669299,131682286,+
CSS0026631,3,131692612,131703381,-
CSS0015862,3,131746094,131754456,+
CSS0038538,3,131765473,131777750,+
CSS0007525,3,131826520,131828338,-
CSS0050290,3,132234041,132236154,+
CSS0017423,3,132242477,132257490,-
CSS0046319,3,132283704,132284086,-
CSS0020670,3,132318693,132329073,-
CSS0044763,3,132408995,132423435,-
CSS0036980,3,132464669,132467592,-
CSS0004403,3,132558804,132563488,-
CSS0002758,3,132690340,132691005,+
CSS0016870,3,132707940,132717987,+
CSS0028807,3,132916426,132918750,-
CSS0020062,3,132943837,132971459,+
CSS0024390,3,133003836,133005240,+
CSS0014571,3,133009324,133009815,-
CSS0042866,3,133056267,133060490,+
CSS0024094,3,133073847,133076104,+
CSS0022294,3,133076488,133080375,+
CSS0021259,3,133193528,133197439,+
CSS0041666,3,133214203,133223773,+
CSS0017349,3,133234329,133235251,+
CSS0042930,3,133238253,133239123,+
CSS0017793,3,133239924,133240196,+
CSS0048747,3,133252283,133266254,+
CSS0009157,3,133271139,133272473,+
CSS0027295,3,133299314,133300547,-
CSS0003706,3,133300619,133302360,-
CSS0016567,3,133302430,133303353,-
CSS0050088,3,133418752,133446217,+
CSS0001255,3,133490539,133492399,-
CSS0049864,3,133515008,133520765,-
CSS0033451,3,133551001,133551950,-
CSS0028219,3,133560746,133571611,-
CSS0038614,3,133622446,133624189,-
CSS0039129,3,133664380,133664664,+
CSS0034840,3,133697572,133699703,+
CSS0017915,3,133899331,133900110,+
CSS0043327,3,133973531,133978256,+
CSS0010386,3,134028243,134029303,-
CSS0043707,3,134057629,134067108,-
CSS0045636,3,134126964,134129849,+
CSS0031880,3,134130867,134144042,-
CSS0037268,3,134163057,134163326,-
CSS0045345,3,134236438,134238638,+
CSS0038790,3,134273255,134279127,+
CSS0048989,3,134298080,134299277,+
CSS0010625,3,134347020,134347790,+
CSS0012334,3,134354957,134357572,+
CSS0046001,3,134403913,134432910,+
CSS0025298,3,134469140,134469814,+
CSS0038572,3,134470748,134473557,+
CSS0034175,3,134489043,134491368,-
CSS0047742,3,134656475,134657054,-
CSS0034034,3,134740632,134741216,-
CSS0044192,3,134768333,134769075,-
CSS0017393,3,134986012,135017618,-
CSS0036242,3,135018957,135022570,-
CSS0008041,3,135023994,135027035,-
CSS0033008,3,135029109,135029921,-
CSS0030224,3,135049735,135055299,-
CSS0014021,3,135124581,135125146,+
CSS0038619,3,135177269,135183788,+
CSS0010640,3,135241250,135246756,-
CSS0011325,3,135248811,135249512,-
CSS0010022,3,135250851,135254699,-
CSS0002002,3,135256124,135259205,-
CSS0032650,3,135261747,135262048,-
CSS0047566,3,135281544,135282615,-
CSS0028320,3,135362544,135362840,+
CSS0005411,3,135394193,135403817,+
CSS0040236,3,135418786,135420013,-
CSS0000702,3,135455249,135457929,+
CSS0049505,3,135460205,135461415,-
CSS0035675,3,135491527,135491793,+
CSS0018913,3,135519004,135524598,+
CSS0009328,3,135550574,135552224,+
CSS0005873,3,135553470,135555228,-
CSS0008279,3,135594783,135596005,-
CSS0014728,3,135653206,135653868,+
CSS0007203,3,135689886,135691667,-
CSS0017377,3,135705235,135721170,+
CSS0018932,3,135806890,135822455,+
CSS0042909,3,136102171,136103309,+
CSS0022939,3,136118313,136118890,+
CSS0028711,3,136126472,136127293,+
CSS0020637,3,136195268,136196880,+
CSS0018688,3,136290126,136290868,+
CSS0002778,3,136316357,136316943,+
CSS0007402,3,136423794,136424141,+
CSS0020643,3,136426538,136427117,+
CSS0043316,3,136472540,136477484,-
CSS0006180,3,136610822,136612222,+
CSS0036595,3,136612448,136613480,+
CSS0011470,3,136758413,136764349,-
CSS0010122,3,136820718,136820970,-
CSS0037427,3,136844530,136853922,-
CSS0000963,3,136869011,136874942,-
CSS0031055,3,136927066,136927839,-
CSS0050255,3,137046816,137052933,-
CSS0026257,3,137087668,137088123,-
CSS0050413,3,137256090,137256644,-
CSS0021600,3,137332777,137334977,-
CSS0044270,3,137391056,137404318,+
CSS0035652,3,137405386,137408484,-
CSS0017276,3,137437586,137438696,-
CSS0037719,3,137488299,137489207,+
CSS0030271,3,137494857,137500311,-
CSS0002027,3,137522009,137531957,-
CSS0001376,3,137533284,137533952,-
CSS0001816,3,137562665,137563943,-
CSS0031395,3,137613450,137615419,-
CSS0043532,3,137788175,137798674,-
CSS0026793,3,137810362,137812779,-
CSS0040379,3,137812899,137813936,-
CSS0046348,3,137828770,137831972,-
CSS0037911,3,137912148,137915489,-
CSS0000445,3,138028932,138046590,+
CSS0022089,3,138047813,138048697,-
CSS0003938,3,138063131,138073155,+
CSS0041398,3,138083537,138087787,+
CSS0014922,3,138148863,138151626,-
CSS0030639,3,138243920,138262754,+
CSS0022517,3,138280776,138288922,+
CSS0041858,3,138317267,138325556,+
CSS0025158,3,138334962,138336978,+
CSS0026157,3,138342860,138350838,+
CSS0012621,3,138420323,138421502,+
CSS0049918,3,138425131,138428396,-
CSS0034312,3,138486188,138487246,+
CSS0026042,3,138906339,138926651,-
CSS0039264,3,138976603,138985159,-
CSS0010150,3,139159644,139171560,+
CSS0042039,3,139316992,139341747,+
CSS0024286,3,139374718,139377673,+
CSS0032462,3,139379360,139388815,-
CSS0044670,3,139393554,139399818,-
CSS0007844,3,139402478,139417165,-
CSS0049602,3,139505855,139506487,-
CSS0048742,3,139559617,139561497,-
CSS0000405,3,139569173,139569996,-
CSS0039556,3,139600535,139601952,-
CSS0014794,3,139732602,139732838,-
CSS0024738,3,139761094,139762240,+
CSS0015795,3,139773721,139774455,+
CSS0046486,3,139838599,139839391,+
CSS0024675,3,139843403,139845842,-
CSS0004761,3,139894331,139909445,-
CSS0020325,3,139940436,139941226,+
CSS0001253,3,139945293,139947769,-
CSS0045133,3,139986302,140004445,+
CSS0024018,3,140012442,140028306,-
CSS0025972,3,140080985,140081752,+
CSS0006779,3,140130585,140150936,+
CSS0032992,3,140271971,140274248,+
CSS0028059,3,140343739,140349393,+
CSS0044687,3,140365334,140366596,+
CSS0002285,3,140376812,140408751,-
CSS0050041,3,140449206,140451622,+
CSS0046579,3,140457483,140458322,-
CSS0031161,3,140681228,140683899,+
CSS0008384,3,140718711,140721202,+
CSS0011369,3,140789013,140825500,+
CSS0012086,3,140861792,140862787,+
CSS0012209,3,140884324,140885556,+
CSS0003556,3,140919940,140920839,+
CSS0048483,3,140944453,140954035,+
CSS0019111,3,141001858,141004979,+
CSS0035957,3,141040075,141061618,+
CSS0031913,3,141157347,141160076,-
CSS0050072,3,141305373,141308764,+
CSS0026946,3,141403348,141406182,-
CSS0035517,3,141454834,141458007,-
CSS0008051,3,141472128,141472400,-
CSS0012873,3,141804338,141804520,+
CSS0029944,3,141830358,141850106,+
CSS0037024,3,141853555,141861473,+
CSS0033568,3,141872005,141876285,+
CSS0014159,3,141928407,141930177,+
CSS0023751,3,141941225,141942829,-
CSS0049036,3,141998376,141998570,+
CSS0034288,3,142003505,142010164,+
CSS0013548,3,142010859,142012582,-
CSS0050238,3,142015337,142030166,-
CSS0048018,3,142039040,142041965,+
CSS0044998,3,142044287,142045725,+
CSS0029672,3,142059032,142060821,-
CSS0021858,3,142074177,142074571,+
CSS0011147,3,142133514,142135226,-
CSS0022011,3,142148292,142161322,-
CSS0027970,3,142157724,142158104,+
CSS0004283,3,142180323,142180559,-
CSS0041933,3,142183490,142191745,+
CSS0017347,3,142231503,142231938,-
CSS0029412,3,142237133,142239104,-
CSS0035301,3,142242256,142247881,+
CSS0036120,3,142266437,142270287,+
CSS0019200,3,142338542,142383321,+
CSS0019420,3,142397549,142399346,+
CSS0010116,3,142423428,142444801,-
CSS0020735,3,142462358,142473122,-
CSS0021739,3,142673671,142682465,-
CSS0048126,3,142685009,142694967,+
CSS0030219,3,142712328,142712924,-
CSS0015320,3,142713991,142715808,-
CSS0006174,3,142814608,142815407,+
CSS0024507,3,142841319,142869312,-
CSS0049288,3,142887725,142888959,-
CSS0016132,3,142890068,142890658,-
CSS0032514,3,142917046,142920015,-
CSS0004724,3,142941745,142949378,+
CSS0027266,3,142966571,142972381,-
CSS0024076,3,142998404,143014276,-
CSS0020681,3,143019347,143033368,+
CSS0044936,3,143038336,143038771,-
CSS0047555,3,143040362,143041911,-
CSS0043075,3,143045064,143045418,+
CSS0015236,3,143074742,143077008,+
CSS0029984,3,143081711,143083508,-
CSS0029056,3,143113413,143114553,-
CSS0010598,3,143237403,143250190,-
CSS0020521,3,143298367,143372131,+
CSS0031441,3,143407223,143407507,+
CSS0006185,3,143479371,143484558,+
CSS0005974,3,143485507,143498304,-
CSS0000072,3,143559787,143560484,-
CSS0006734,3,144069943,144072644,+
CSS0020605,3,144089461,144093245,+
CSS0002324,3,144119811,144121652,+
CSS0009102,3,144168440,144170472,+
CSS0047635,3,144169964,144184978,-
CSS0038540,3,144229321,144238453,+
CSS0010020,3,144254828,144263879,+
CSS0000682,3,144264613,144267358,-
CSS0021877,3,144281599,144281769,+
CSS0005629,3,144289856,144300707,-
CSS0039868,3,144344625,144352114,+
CSS0046025,3,144375526,144387378,+
CSS0015966,3,144388363,144390729,-
CSS0029008,3,144540155,144547964,+
CSS0040788,3,144557092,144558897,+
CSS0000177,3,144600600,144602167,+
CSS0023456,3,144602847,144606622,+
CSS0037781,3,144621288,144623857,+
CSS0006989,3,144855324,144855875,-
CSS0006545,3,144939547,144942117,+
CSS0006933,3,145105117,145106542,+
CSS0034745,3,145212885,145215361,+
CSS0029583,3,145245381,145247301,+
CSS0044743,3,145268344,145271562,+
CSS0031983,3,145277762,145279205,-
CSS0035299,3,145281526,145282958,-
CSS0000756,3,145351117,145356597,-
CSS0004112,3,145387473,145392086,-
CSS0006405,3,145455773,145458028,+
CSS0050199,3,145458678,145465324,+
CSS0045089,3,145600251,145600889,+
CSS0015060,3,145628329,145634419,+
CSS0035818,3,145645525,145647751,-
CSS0003872,3,145680934,145689323,+
CSS0008093,3,145708750,145709646,-
CSS0027060,3,145741513,145744438,+
CSS0018923,3,145756080,145763086,-
CSS0031767,3,145778657,145787438,+
CSS0025082,3,145845314,145846379,+
CSS0012976,3,145851078,145860699,-
CSS0011590,3,145871932,145885333,-
CSS0034224,3,145948306,145953002,-
CSS0045678,3,145962606,145971322,+
CSS0048631,3,146047597,146048640,+
CSS0010758,3,146053689,146059613,-
CSS0009152,3,146078021,146087039,-
CSS0045791,3,146140751,146141329,+
CSS0001058,3,146353550,146355476,-
CSS0034816,3,146493605,146527995,+
CSS0016341,3,146574253,146577021,-
CSS0019894,3,146592485,146593553,+
CSS0013683,3,146669180,146669424,+
CSS0011750,3,146703855,146705042,-
CSS0013945,3,146720008,146739681,-
CSS0033793,3,146748117,146783430,-
CSS0013679,3,146852484,146881642,+
CSS0009643,3,146882043,146886536,-
CSS0031464,3,146910145,146912969,-
CSS0016828,3,146963146,146965867,-
CSS0012096,3,147064910,147067631,-
CSS0039795,3,147101233,147102382,-
CSS0050153,3,147103379,147103920,-
CSS0001647,3,147119164,147120086,+
CSS0041110,3,147298868,147333071,+
CSS0006984,3,147341479,147360869,+
CSS0049125,3,147389513,147392845,+
CSS0019020,3,147421311,147447401,-
CSS0021358,3,147684478,147688388,-
CSS0040389,3,147942895,147944682,-
CSS0007398,3,147996400,147998007,+
CSS0034169,3,148330802,148332535,+
CSS0035532,3,148484171,148484500,+
CSS0044363,3,148695188,148696839,+
CSS0002227,3,148730359,148731771,+
CSS0035013,3,148779271,148780671,-
CSS0042938,3,148841240,148841819,-
CSS0045413,3,148843382,148845545,+
CSS0041898,3,148876767,148878210,+
CSS0031829,3,149189062,149192306,-
CSS0020923,3,149282606,149284075,-
CSS0024764,3,149531880,149533660,-
CSS0007904,3,149549956,149551314,-
CSS0030544,3,149554281,149555554,+
CSS0023704,3,149670429,149671981,-
CSS0033842,3,149886839,149887033,+
CSS0021008,3,149891681,149898382,+
CSS0013488,3,149899106,149900692,-
CSS0040695,3,149903148,149917699,-
CSS0006054,3,149930065,149931880,+
CSS0016661,3,149938121,149939706,+
CSS0049638,3,149948992,149954157,+
CSS0039665,3,149960404,149961762,-
CSS0026881,3,149975531,149975925,+
CSS0010311,3,150063908,150065596,-
CSS0002136,3,150138917,150143232,+
CSS0049609,3,150197273,150198064,+
CSS0049640,3,150257325,150258414,+
CSS0043335,3,150370209,150370954,-
CSS0042032,3,150379865,150380449,+
CSS0045808,3,150398600,150399226,-
CSS0037980,3,150530458,150545998,+
CSS0019112,3,150622834,150623046,-
CSS0045906,3,150699323,150702010,+
CSS0002685,3,150746019,150746645,+
CSS0020231,3,150835575,150844937,-
CSS0001715,3,150952733,150953842,+
CSS0035255,3,150981884,150984833,+
CSS0032534,3,151032921,151036153,-
CSS0042348,3,151318852,151321498,+
CSS0011303,3,151614597,151614848,+
CSS0011240,3,151662123,151669431,+
CSS0042819,3,151671133,151673892,+
CSS0005332,3,151823109,151824069,+
CSS0050518,3,151978626,151980718,-
CSS0018684,3,152056075,152064167,+
CSS0001691,3,152083127,152085414,-
CSS0050351,3,152173963,152176758,-
CSS0038442,3,152219229,152227691,-
CSS0029572,3,152229846,152234046,-
CSS0013412,3,152526075,152528749,-
CSS0004862,3,152684485,152732243,+
CSS0045110,3,152769209,152800997,+
CSS0037481,3,152803010,152803820,-
CSS0026455,3,152844024,152848180,-
CSS0031040,3,152888016,152888683,-
CSS0015664,3,152918245,152949349,+
CSS0023490,3,152986219,153013717,+
CSS0002851,3,153021468,153024873,-
CSS0021538,3,153092034,153096572,-
CSS0033905,3,153146516,153147183,-
CSS0021988,3,153184396,153197267,+
CSS0037954,3,153287950,153290773,+
CSS0015031,3,153350675,153353473,+
CSS0013823,3,153440990,153441325,+
CSS0048296,3,153522090,153525111,+
CSS0038004,3,153641657,153642556,-
CSS0032714,3,153757884,153758243,-
CSS0049416,3,153923842,153926988,+
CSS0043182,3,154094391,154095641,+
CSS0050093,3,154128939,154132991,-
CSS0047209,3,154208798,154210197,+
CSS0037060,3,154263049,154264299,+
CSS0026683,3,154361917,154363098,+
CSS0036374,3,154392374,154405862,+
CSS0017908,3,154399538,154400302,+
CSS0048888,3,154407517,154408129,+
CSS0023802,3,154473831,154474025,-
CSS0002341,3,154482167,154498852,+
CSS0018718,3,154548283,154550108,-
CSS0041994,3,154579462,154579767,+
CSS0006364,3,154963753,154966183,+
CSS0005972,3,155131717,155135006,-
CSS0009117,3,155229714,155234831,+
CSS0038441,3,155552145,155554697,+
CSS0047482,3,155554977,155556891,+
CSS0013596,3,155952908,155953434,+
CSS0021396,3,156306905,156309705,-
CSS0011977,3,156327640,156346104,+
CSS0005213,3,156475421,156476897,-
CSS0019673,3,156555157,156559685,+
CSS0023304,3,156556445,156556754,+
CSS0013442,3,156566059,156571339,+
CSS0011917,3,156572098,156575005,-
CSS0025552,3,156635976,156655635,+
CSS0017637,3,156718177,156720532,+
CSS0037771,3,156752774,156754946,-
CSS0006787,3,156845684,156849786,+
CSS0029886,3,156850882,156853767,-
CSS0033839,3,156856214,156860075,+
CSS0046905,3,156902754,156903572,+
CSS0006575,3,156972845,156973390,-
CSS0021138,3,157027393,157037125,+
CSS0014881,3,157102422,157102793,-
CSS0034328,3,157156107,157161605,+
CSS0011824,3,157221922,157228909,+
CSS0023117,3,157342081,157368309,+
CSS0020611,3,157426306,157427634,-
CSS0012486,3,157531395,157531634,-
CSS0010372,3,157536623,157536802,+
CSS0048551,3,157704890,157705711,+
CSS0038318,3,157710848,157711591,+
CSS0009702,3,157723707,157727448,+
CSS0021702,3,157786090,157789790,-
CSS0048202,3,157790068,157795096,-
CSS0003818,3,157887538,157895252,-
CSS0024245,3,157922873,157924511,-
CSS0013298,3,157935153,157937147,+
CSS0028750,3,158033144,158034353,+
CSS0028695,3,158091187,158095315,+
CSS0041608,3,158288521,158288700,+
CSS0031335,3,158418210,158418515,-
CSS0034395,3,158471883,158472831,+
CSS0013245,3,158472951,158475391,+
CSS0011378,3,158497344,158498109,+
CSS0027535,3,158524489,158525254,+
CSS0047493,3,158645737,158648324,+
CSS0045863,3,158689326,158690053,+
CSS0020837,3,158719224,158720299,-
CSS0001476,3,158857147,158860277,-
CSS0019073,3,159024369,159026143,-
CSS0010350,3,159037807,159038391,-
CSS0041590,3,159050040,159051146,-
CSS0027729,3,159077105,159078141,+
CSS0045259,3,159123454,159131899,+
CSS0019526,3,159176017,159190533,+
CSS0023491,3,159197522,159198136,-
CSS0002473,3,159223139,159233468,+
CSS0042374,3,159353797,159364638,+
CSS0024830,3,159369489,159377310,+
CSS0048837,3,159379072,159383714,+
CSS0011294,3,159400775,159405407,+
CSS0015452,3,159491678,159495743,+
CSS0010588,3,159500574,159507928,+
CSS0003206,3,159510128,159518407,+
CSS0023997,3,159549567,159555259,+
CSS0014952,3,159674077,159680669,+
CSS0026171,3,159691589,159693805,+
CSS0047351,3,159697357,159704147,-
CSS0007073,3,159712552,159740455,-
CSS0035508,3,159769320,159773874,+
CSS0040899,3,159810855,159815367,+
CSS0019325,3,159846539,159847749,+
CSS0039785,3,159849265,159852350,-
CSS0016239,3,159899451,159902266,-
CSS0013360,3,159916842,159927697,-
CSS0011250,3,159934824,159942601,-
CSS0009356,3,160103620,160118010,+
CSS0041400,3,160186126,160187184,+
CSS0041980,3,160193326,160193801,-
CSS0044689,3,160272854,160285907,+
CSS0030740,3,160287596,160292488,+
CSS0039811,3,160327753,160337294,+
CSS0025011,3,160351231,160351428,+
CSS0008567,3,160400823,160417931,+
CSS0033464,3,160418765,160424093,-
CSS0009949,3,160429569,160434969,-
CSS0036976,3,160532592,160546085,-
CSS0021281,3,160630533,160638032,-
CSS0042126,3,160698580,160723240,-
CSS0035955,3,160737563,160739852,+
CSS0032201,3,160759408,160760813,+
CSS0031803,3,160761930,160763643,-
CSS0046067,3,160797168,160806256,+
CSS0029682,3,160806763,160815868,-
CSS0036188,3,160852456,160885763,+
CSS0011314,3,160887624,160888243,+
CSS0004733,3,160908500,160910235,-
CSS0043669,3,160936978,160945263,+
CSS0036552,3,160947313,160951770,-
CSS0048094,3,160986754,161013642,+
CSS0038900,3,161016209,161016664,+
CSS0001358,3,161045443,161047964,-
CSS0019516,3,161086813,161090027,-
CSS0050358,3,161112555,161117094,-
CSS0017536,3,161148744,161151025,-
CSS0036479,3,161164100,161175301,+
CSS0039602,3,161178446,161184612,+
CSS0025134,3,161183402,161185252,-
CSS0042064,3,161226658,161227986,+
CSS0016394,3,161336376,161344266,+
CSS0021324,3,161370214,161393319,+
CSS0039087,3,161400356,161401312,-
CSS0025742,3,161643496,161648033,+
CSS0032174,3,161721124,161723664,+
CSS0002167,3,161804333,161811518,+
CSS0002726,3,161906506,161911856,+
CSS0029260,3,161921295,161925877,+
CSS0020305,3,161926796,161930652,-
CSS0003914,3,161937580,161990793,-
CSS0008477,3,162146869,162147978,-
CSS0025643,3,162239750,162240862,-
CSS0044453,3,162602170,162603154,+
CSS0033345,3,162645688,162647334,-
CSS0016751,3,162761073,162765172,+
CSS0045936,3,162975259,162976338,-
CSS0023066,3,163146483,163165630,+
CSS0004642,3,163183576,163186467,+
CSS0000399,3,163257311,163257585,+
CSS0021902,3,163257599,163260456,+
CSS0012719,3,163264929,163270773,+
CSS0009410,3,163315501,163323845,+
CSS0043978,3,163343627,163346633,+
CSS0027589,3,163430946,163436993,+
CSS0028390,3,163511064,163512279,-
CSS0003998,3,163516436,163519058,+
CSS0031331,3,163545792,163561180,+
CSS0009486,3,163579098,163582160,+
CSS0028490,3,163609643,163610863,+
CSS0041690,3,163611993,163612988,+
CSS0013081,3,163852876,163856477,+
CSS0044283,3,163860625,163861623,+
CSS0008077,3,163879056,163880942,+
CSS0000825,3,163945088,163948059,+
CSS0014963,3,163951416,163953249,-
CSS0009886,3,163978443,163980580,+
CSS0003808,3,163983250,164015241,-
CSS0030782,3,164105863,164107750,-
CSS0040161,3,164128536,164130329,-
CSS0019043,3,164238140,164238802,+
CSS0033481,3,164366917,164367501,-
CSS0044932,3,164522822,164523151,+
CSS0040360,3,164523248,164524628,+
CSS0018474,3,164524802,164526863,+
CSS0019855,3,164555100,164558701,-
CSS0013582,3,164741145,164741957,-
CSS0023320,3,164822145,164826389,-
CSS0002907,3,164845088,164845787,-
CSS0020000,3,164880293,164882846,-
CSS0004383,3,164925880,164934043,+
CSS0015500,3,164962830,164965575,-
CSS0000914,3,164966855,164988708,-
CSS0006662,3,164992519,164997159,+
CSS0015910,3,165011894,165024831,+
CSS0015768,3,165031901,165038512,+
CSS0022017,3,165051285,165055063,-
CSS0038489,3,165064121,165074237,+
CSS0039209,3,165099026,165102540,+
CSS0044692,3,165118404,165118655,-
CSS0003960,3,165205138,165222203,-
CSS0011473,3,165257143,165258647,-
CSS0001902,3,165262891,165264184,+
CSS0010142,3,165275008,165275549,+
CSS0038518,3,165300333,165301954,+
CSS0022301,3,165329414,165329946,+
CSS0034360,3,165385600,165385942,-
CSS0019477,3,165493663,165506444,+
CSS0025324,3,165514348,165516176,-
CSS0034268,3,165542170,165542807,+
CSS0003333,3,165546823,165547389,+
CSS0008689,3,165586294,165587905,-
CSS0040244,3,165612423,165614179,-
CSS0006308,3,165623848,165625127,-
CSS0042670,3,165627010,165627261,+
CSS0044841,3,165632351,165636332,-
CSS0003444,3,165641030,165657569,-
CSS0024056,3,165677781,165704096,+
CSS0036493,3,165712731,165713617,-
CSS0022122,3,165817487,165823246,-
CSS0025320,3,165837151,165845523,+
CSS0031652,3,165927635,165936052,+
CSS0047010,3,165974525,165976217,-
CSS0031587,3,166009275,166015893,-
CSS0004745,3,166037870,166052529,-
CSS0006344,3,166115945,166116331,-
CSS0042180,3,166134372,166137249,-
CSS0048137,3,166329062,166332241,-
CSS0014025,3,166339307,166344985,-
CSS0012372,3,166367488,166368282,-
CSS0020037,3,166370487,166382252,-
CSS0033056,3,166478324,166480446,+
CSS0035566,3,166481996,166492982,-
